title,url,ingredient,quantity,note,kcal,fat,saturates,carbs,sugars,fibre,protein,salt
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,olive oil,4 tbsp,,575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,onion,1,finely chopped,575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,garlic cloves,2,crushed,575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,chilli flakes,¼ tsp,,575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,tomatoes,2 x 400g cans chopped,,575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,caster sugar,1 tsp,,575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,mascarpone,6 tbsp,,575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,skinless chicken,4,"breasts, sliced into strips",575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,penne,300g,,575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,mature cheddar,70g,grated,575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,grated mozzarella,50g,,575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/chicken-pasta-bake,parsley,½ small bunch of,finely chopped,575,30,14,41,9,5,33,0.5
No title,https://www.bbcgoodfood.com/recipes/easy-chicken-curry,sunflower oil,2 tbsp,,354,23,4,10,8,3,24,0.6
No title,https://www.bbcgoodfood.com/recipes/easy-chicken-curry,onion,1,thinly sliced,354,23,4,10,8,3,24,0.6
No title,https://www.bbcgoodfood.com/recipes/easy-chicken-curry,garlic cloves,2,crushed,354,23,4,10,8,3,24,0.6
No title,https://www.bbcgoodfood.com/recipes/easy-chicken-curry,ginger,thumb-sized piece of,grated,354,23,4,10,8,3,24,0.6
No title,https://www.bbcgoodfood.com/recipes/easy-chicken-curry,chicken thighs,6,boneless and skinless,354,23,4,10,8,3,24,0.6
No title,https://www.bbcgoodfood.com/recipes/easy-chicken-curry,medium spice paste,3 tbsp,(tikka works well),354,23,4,10,8,3,24,0.6
No title,https://www.bbcgoodfood.com/recipes/easy-chicken-curry,chopped tomatoes,400g can,,354,23,4,10,8,3,24,0.6
No title,https://www.bbcgoodfood.com/recipes/easy-chicken-curry,Greek yogurt,100g,,354,23,4,10,8,3,24,0.6
No title,https://www.bbcgoodfood.com/recipes/easy-chicken-curry,coriander,1 small bunch of,leaves chopped,354,23,4,10,8,3,24,0.6
No title,https://www.bbcgoodfood.com/recipes/easy-chicken-curry,ground almonds,50g,,354,23,4,10,8,3,24,0.6
No title,https://www.bbcgoodfood.com/recipes/easy-chicken-curry,naan breads,,"or cooked basmati rice, to serve",354,23,4,10,8,3,24,0.6
No title,https://www.bbcgoodfood.com/recipes/sausage-ragu,olive oil,3 tbsp,,601,22,7,73,18,7,21,1.04
No title,https://www.bbcgoodfood.com/recipes/sausage-ragu,onion,1,finely chopped,601,22,7,73,18,7,21,1.04
No title,https://www.bbcgoodfood.com/recipes/sausage-ragu,large garlic cloves,2,crushed,601,22,7,73,18,7,21,1.04
No title,https://www.bbcgoodfood.com/recipes/sausage-ragu,chilli flakes,¼ tsp,,601,22,7,73,18,7,21,1.04
No title,https://www.bbcgoodfood.com/recipes/sausage-ragu,rosemary,2,"sprigs, leaves finely chopped",601,22,7,73,18,7,21,1.04
