title,url,ingredient,quantity,note,kcal,fat,saturates,carbs,sugars,fibre,protein,salt
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,chickpeas,400g can,rinsed and drained,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,red onion,1 small,roughly chopped,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,garlic clove,1,chopped,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,flat-leaf parsley,handful of,or curly parsley,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,ground cumin,1 tsp,,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,ground coriander,1 tsp,,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,harissa paste,½ tsp,or chilli powder,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,plain flour,2 tbsp,,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,sunflower oil,2 tbsp,,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,pitta bread,toasted,to serve,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,tub tomato salsa,200g,to serve,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/falafel-burgers-0,green salad,,to serve,175,8,1,18,1,4,6,0.4
No title,https://www.bbcgoodfood.com/recipes/quick-chicken-hummus-bowl,hummus,200g,,779,47,4,49,10,14,34,1
No title,https://www.bbcgoodfood.com/recipes/quick-chicken-hummus-bowl,small  lemon,1,zested and juiced,779,47,4,49,10,14,34,1
No title,https://www.bbcgoodfood.com/recipes/quick-chicken-hummus-bowl,pouch cooked mixed grains,200g,,779,47,4,49,10,14,34,1
No title,https://www.bbcgoodfood.com/recipes/quick-chicken-hummus-bowl,baby spinach,150g,roughly chopped,779,47,4,49,10,14,34,1
No title,https://www.bbcgoodfood.com/recipes/quick-chicken-hummus-bowl,small avocado,1,halved and sliced,779,47,4,49,10,14,34,1
No title,https://www.bbcgoodfood.com/recipes/quick-chicken-hummus-bowl,chicken breast,1cooked,sliced at an angle,779,47,4,49,10,14,34,1
No title,https://www.bbcgoodfood.com/recipes/quick-chicken-hummus-bowl,pomegranate seeds,100g,,779,47,4,49,10,14,34,1
No title,https://www.bbcgoodfood.com/recipes/quick-chicken-hummus-bowl,red onion,½,finely sliced,779,47,4,49,10,14,34,1
No title,https://www.bbcgoodfood.com/recipes/quick-chicken-hummus-bowl,toasted almonds,2 tbsp,,779,47,4,49,10,14,34,1
No title,https://www.bbcgoodfood.com/recipes/10minute-couscous-salad,couscous,100g,,468,24,5,44,7,5,16,1.23
No title,https://www.bbcgoodfood.com/recipes/10minute-couscous-salad,hot low salt vegetable stock,200ml,(from a cube is fine),468,24,5,44,7,5,16,1.23
No title,https://www.bbcgoodfood.com/recipes/10minute-couscous-salad,spring onions,2,,468,24,5,44,7,5,16,1.23
No title,https://www.bbcgoodfood.com/recipes/10minute-couscous-salad,red pepper,1,,468,24,5,44,7,5,16,1.23
No title,https://www.bbcgoodfood.com/recipes/10minute-couscous-salad,cucumber,½,,468,24,5,44,7,5,16,1.23
No title,https://www.bbcgoodfood.com/recipes/10minute-couscous-salad,feta cheese,50g,cubed,468,24,5,44,7,5,16,1.23
No title,https://www.bbcgoodfood.com/recipes/10minute-couscous-salad,pesto,2tbsp,,468,24,5,44,7,5,16,1.23
No title,https://www.bbcgoodfood.com/recipes/10minute-couscous-salad,pine nuts,2tbsp,,468,24,5,44,7,5,16,1.23
No title,https://www.bbcgoodfood.com/recipes/smashed-peas-on-toast,freshly podded or frozen peas,200g,,320,8,1,44,3,7,14,1.1
No title,https://www.bbcgoodfood.com/recipes/smashed-peas-on-toast,mint stalks,2,leaves finely chopped,320,8,1,44,3,7,14,1.1
No title,https://www.bbcgoodfood.com/recipes/smashed-peas-on-toast,lemon,1,"zested, plus a little juice",320,8,1,44,3,7,14,1.1
No title,https://www.bbcgoodfood.com/recipes/smashed-peas-on-toast,extra virgin olive oil,1 tbsp,,320,8,1,44,3,7,14,1.1
No title,https://www.bbcgoodfood.com/recipes/smashed-peas-on-toast,bread,2 slices of,(we used sourdough),320,8,1,44,3,7,14,1.1
No title,https://www.bbcgoodfood.com/recipes/smashed-peas-on-toast,eggs,2,(optional),320,8,1,44,3,7,14,1.1
No title,https://www.bbcgoodfood.com/recipes/smashed-peas-on-toast,chilli flakes,pinch of,(optional),320,8,1,44,3,7,14,1.1
