title,url,ingredient,quantity,note,kcal,fat,saturates,carbs,sugars,fibre,protein,salt
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,sunflower oil,2 tbsp,,256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,onions,2,sliced,256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,chicken thighs,"4 boneless, skinless",,256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,garlic cloves,3,finely chopped,256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,oregano,1 tbsp,,256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,cumin seeds,1 tsp,,256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,chipotle,3 tbsp,in adobo or 1 tsp chipotle paste,256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,passata,350g,,256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,chicken stock shot or cube,1⁄2,,256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,black beans,400g can,drained but not rinsed,256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,lime,1⁄2,juiced,256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Pulled chicken & black bean chilli,https://www.bbcgoodfood.com/recipes/pulled-chicken-black-bean-chilli,rice,cooked,"or tortillas, coriander, feta, lime wedges and chopped red onion, to serve (optional)",256low,10g,2g,18g,8glow,7ghigh,19g,0.9glow
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,"boneless, skinless chicken thighs",8-12,each cut into 3 chunks,531,33g,12g,17g,16glow,4g,39g,0.75g
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,veg or rapeseed oil,2 tbsp,,531,33g,12g,17g,16glow,4g,39g,0.75g
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,large onion,1,chopped,531,33g,12g,17g,16glow,4g,39g,0.75g
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,garlic cloves,2,crushed,531,33g,12g,17g,16glow,4g,39g,0.75g
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,ginger,thumb-sized piece,finely grated or chopped,531,33g,12g,17g,16glow,4g,39g,0.75g
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,tikka curry paste,3 tbsp,,531,33g,12g,17g,16glow,4g,39g,0.75g
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,passata,500ml,,531,33g,12g,17g,16glow,4g,39g,0.75g
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,tomato purée,1 tbsp,,531,33g,12g,17g,16glow,4g,39g,0.75g
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,malt vinegar,1 tbsp,,531,33g,12g,17g,16glow,4g,39g,0.75g
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,light brown soft sugar,1 tbsp,,531,33g,12g,17g,16glow,4g,39g,0.75g
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,cinnamon stick,1,,531,33g,12g,17g,16glow,4g,39g,0.75g
Slow cooker chicken tikka masala,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-tikka-masala,cardamom pods,5,,531,33g,12g,17g,16glow,4g,39g,0.75g
