title,url,ingredient,quantity,note,kcal,fat,saturates,carbs,sugars,fibre,protein,salt
No title,https://www.bbcgoodfood.com/recipes/american-pancakes,self-raising flour,200g,,356,13,6,46,8,2,13,1.3
No title,https://www.bbcgoodfood.com/recipes/american-pancakes,baking powder,1 ½ tsp,,356,13,6,46,8,2,13,1.3
No title,https://www.bbcgoodfood.com/recipes/american-pancakes,golden caster sugar,1 tbsp,,356,13,6,46,8,2,13,1.3
No title,https://www.bbcgoodfood.com/recipes/american-pancakes,large eggs,3,,356,13,6,46,8,2,13,1.3
No title,https://www.bbcgoodfood.com/recipes/american-pancakes,melted butter,25g,plus extra for cooking,356,13,6,46,8,2,13,1.3
No title,https://www.bbcgoodfood.com/recipes/american-pancakes,milk,200ml,,356,13,6,46,8,2,13,1.3
No title,https://www.bbcgoodfood.com/recipes/american-pancakes,vegetable oil,,for cooking,356,13,6,46,8,2,13,1.3
No title,https://www.bbcgoodfood.com/recipes/the-breakfast-club,sunflower oil,3 tbsp,,991,51,16,85,13,16,41,4.74
No title,https://www.bbcgoodfood.com/recipes/the-breakfast-club,frozen hash browns,4,,991,51,16,85,13,16,41,4.74
No title,https://www.bbcgoodfood.com/recipes/the-breakfast-club,pork sausages,3,,991,51,16,85,13,16,41,4.74
No title,https://www.bbcgoodfood.com/recipes/the-breakfast-club,smoked back bacon,4 rashers,,991,51,16,85,13,16,41,4.74
No title,https://www.bbcgoodfood.com/recipes/the-breakfast-club,butter,15g,plus extra for spreading,991,51,16,85,13,16,41,4.74
No title,https://www.bbcgoodfood.com/recipes/the-breakfast-club,chestnut mushrooms,100g,sliced,991,51,16,85,13,16,41,4.74
No title,https://www.bbcgoodfood.com/recipes/the-breakfast-club,eggs,2,,991,51,16,85,13,16,41,4.74
No title,https://www.bbcgoodfood.com/recipes/the-breakfast-club,baked beans,400g can,,991,51,16,85,13,16,41,4.74
No title,https://www.bbcgoodfood.com/recipes/the-breakfast-club,white bread,6 slices,,991,51,16,85,13,16,41,4.74
No title,https://www.bbcgoodfood.com/recipes/the-breakfast-club,butter,,"ketchup and brown sauce, to serve",991,51,16,85,13,16,41,4.74
No title,https://www.bbcgoodfood.com/recipes/pain-au-chocolat,plain flour,420g,,540,31,19,54,12,4,8,1.04
No title,https://www.bbcgoodfood.com/recipes/pain-au-chocolat,sea salt,8g,,540,31,19,54,12,4,8,1.04
No title,https://www.bbcgoodfood.com/recipes/pain-au-chocolat,caster sugar,60g,,540,31,19,54,12,4,8,1.04
No title,https://www.bbcgoodfood.com/recipes/pain-au-chocolat,unsalted butter,220g,"(at least 82% fat works best), 20g softened",540,31,19,54,12,4,8,1.04
No title,https://www.bbcgoodfood.com/recipes/pain-au-chocolat,fresh yeast,20g,or 10g dried yeast,540,31,19,54,12,4,8,1.04
No title,https://www.bbcgoodfood.com/recipes/pain-au-chocolat,egg,1,beaten,540,31,19,54,12,4,8,1.04
No title,https://www.bbcgoodfood.com/recipes/pain-au-chocolat,whole milk,110ml,,540,31,19,54,12,4,8,1.04
No title,https://www.bbcgoodfood.com/recipes/pain-au-chocolat,dark chocolate batons,16,,540,31,19,54,12,4,8,1.04
No title,https://www.bbcgoodfood.com/recipes/leek-kale-hash-with-sage-fried-eggs,Maris Piper potatoes,800g,cut into large chunks,431,26,7,32,3,5,14,0.4
No title,https://www.bbcgoodfood.com/recipes/leek-kale-hash-with-sage-fried-eggs,olive oil,4 tbsp,,431,26,7,32,3,5,14,0.4
No title,https://www.bbcgoodfood.com/recipes/leek-kale-hash-with-sage-fried-eggs,butter,25g,,431,26,7,32,3,5,14,0.4
No title,https://www.bbcgoodfood.com/recipes/leek-kale-hash-with-sage-fried-eggs,leeks,2,finely sliced,431,26,7,32,3,5,14,0.4
No title,https://www.bbcgoodfood.com/recipes/leek-kale-hash-with-sage-fried-eggs,kale,75g,"thick stalks finely chopped, leaves torn",431,26,7,32,3,5,14,0.4
No title,https://www.bbcgoodfood.com/recipes/leek-kale-hash-with-sage-fried-eggs,sage sprig,1,,431,26,7,32,3,5,14,0.4
No title,https://www.bbcgoodfood.com/recipes/leek-kale-hash-with-sage-fried-eggs,garlic cloves,3,finely sliced,431,26,7,32,3,5,14,0.4
No title,https://www.bbcgoodfood.com/recipes/leek-kale-hash-with-sage-fried-eggs,grated parmesan,,"or vegetarian alternative, to serve (optional)",431,26,7,32,3,5,14,0.4
No title,https://www.bbcgoodfood.com/recipes/air-fryer-omelette,butter,15g,,251,22,10,0.1,0.1,0,13,0.68
No title,https://www.bbcgoodfood.com/recipes/air-fryer-omelette,eggs,2,,251,22,10,0.1,0.1,0,13,0.68
No title,https://www.bbcgoodfood.com/recipes/air-fryer-omelette,"grated cheese, fried mushrooms, wilted spinach, crumbled feta or chopped ham","fillings of your choice, such as",,251,22,10,0.1,0.1,0,13,0.68
No title,https://www.bbcgoodfood.com/recipes/air-fryer-omelette,salad,,to serve,251,22,10,0.1,0.1,0,13,0.68
No title,https://www.bbcgoodfood.com/recipes/baby-pancakes,bananas,2 large,peeled,36,1,0.3,5,2,0.3,1,0.06
No title,https://www.bbcgoodfood.com/recipes/baby-pancakes,eggs,2,,36,1,0.3,5,2,0.3,1,0.06
No title,https://www.bbcgoodfood.com/recipes/baby-pancakes,self-raising flour,4 tbsp,,36,1,0.3,5,2,0.3,1,0.06
No title,https://www.bbcgoodfood.com/recipes/baby-pancakes,ground cinnamon,½ tsp,,36,1,0.3,5,2,0.3,1,0.06
No title,https://www.bbcgoodfood.com/recipes/baby-pancakes,unsalted butter,1 tsp,,36,1,0.3,5,2,0.3,1,0.06
No title,https://www.bbcgoodfood.com/recipes/baby-pancakes,vegetable oil,2 tsp,,36,1,0.3,5,2,0.3,1,0.06
No title,https://www.bbcgoodfood.com/recipes/protein-porridge,porridge oats,80g,,376,13,6,39,11,4,25,0.33
