url,title,kcal,fat,saturates,carbs,sugars,fibre,protein,salt,ingredients
https://www.bbcgoodfood.com/recipes/15-minute-chicken-halloumi-burgers,15 Minute Chicken Halloumi Burgers,737,42.0g,10.0g,49.0g,6.0g,4.0g,39g,4.1g,"2 chicken breast fillets, 1 tbsp oil plus extra for frying the halloumi, if needed, 4 tbsp piri-piri sauce or other mild chilli sauce, plus extra for drizzling, ½ lemon juiced, burger buns split in half, 250g block lighter halloumi sliced into 8 pieces, ¼ small white cabbage finely sliced, 2 tbsp mayonnaise, 4 tbsp hummus tzatziki or soured cream & chive dip, handful of rocket or 4-8 soft lettuce leaves, 2 large roasted red peppers from a jar, drained and sliced"
https://www.bbcgoodfood.com/recipes/air-fryer-baked-potatoes,Air Fryer Baked Potatoes,206,2.0g,0.4g,40.0g,3.0g,5.0g,5g,0.01g,"4 baking potatoes (about 250g each), ½ tbsp sunflower oil, toppings of your choice such as butter, cheese, baked beans or tuna mayonnaise"
https://www.bbcgoodfood.com/recipes/air-fryer-chicken-thighs,Air Fryer Chicken Thighs,111,8.0g,2.0g,0.0g,0.0g,0.3g,11g,0.7g,"1 tsp paprika, ½ tsp mixed herbs, ½ tsp garlic granules (optional), 4 chicken thighs bone in, 1 tsp olive oil"
https://www.bbcgoodfood.com/recipes/air-fryer-fish-fingers,Air Fryer Fish Fingers,64,1.0g,0.2g,7.0g,0.2g,0.3g,7g,0.7g,"250g white fish loin, 1 egg beaten, 75g panko breadcrumbs, sliced white bread butter, tartare sauce or tomato ketchup, and Little Gem lettuce, to serve"
https://www.bbcgoodfood.com/recipes/air-fryer-meatballs,Air Fryer Meatballs,82,6.0g,2.0g,2.0g,0.4g,0.3g,6g,0.18g,"4 good-quality sausages, 500g beef mince, ½ onion or 1 shallot, very finely chopped, 50g parmesan finely grated, 50g fresh breadcrumbs, handful parsley finely chopped, 1 egg beaten"
https://www.bbcgoodfood.com/recipes/air-fryer-pork-chops,Air Fryer Pork Chops,404,27.0g,10.0g,0.3g,0.1g,0.3g,41g,0.92g,"4 pork chops, ½ tbsp sunflower or vegetable oil, ½ tsp dried oregano, ½ tsp paprika, ½ tsp mustard powder, ½ tsp onion powder, 25g parmesan finely grated, cooked greens and peas to serve (optional)"
https://www.bbcgoodfood.com/recipes/air-fryer-sausages,Air Fryer Sausages,120,9.0g,3.0g,4.0g,1.0g,1.0g,6g,0.64g,6 sausages of your choice
https://www.bbcgoodfood.com/recipes/anytime-pesto-prawn-pasta-salad,Anytime Pesto Prawn Pasta Salad,567,28.0g,6.0g,52.0g,5.0g,4.0g,24g,2.2g,"350g pasta, 200g green beans halved, 100g pesto, 140g light crème fraîche, 200g cooked king prawns, zest 1 lemon juice of 1/2, 50g pine nuts, 70g bag rocket"
https://www.bbcgoodfood.com/recipes/asparagus-meatball-orzo,Asparagus Meatball Orzo,634,35.0g,19.0g,37.0g,3.0g,6.0g,40g,1.1g,"pack of 12 pork meatballs, 500g pack orzo pasta, large bunch of asparagus sliced in half lengthways, 200g tub crème fraîche"
https://www.bbcgoodfood.com/recipes/baked-cod-with-creamy-mushroom-leek-orzo,Baked Cod With Creamy Mushroom Leek Orzo,571,15.0g,6.0g,66.0g,4.0g,6.0g,41g,0.42g,"3 tbsp plain flour, 4 cod loin fillets, 2 tbsp olive oil, 1 lemon zested and sliced, ½ small bunch of thyme, 2 leeks sliced, 200g mushrooms sliced, 300g orzo, 500ml low-salt stock, 2 tbsp crème fraîche"
https://www.bbcgoodfood.com/recipes/bang-bang-chicken-vegetable-noodles,Bang Bang Chicken Vegetable Noodles,440,23.0g,4.0g,22.0g,18.0g,9.0g,31g,2.4g,"2 chicken breasts, 4 courgettes, 4 carrots, 4 spring onions finely sliced on an angle (save a few green parts to sprinkle on top), 150g beansprouts, 180g frozen soya or edamame beans, defrosted, 4 tbsp smooth peanut butter, 3 tbsp soy sauce, 3 tbsp sweet chilli sauce, 2 tbsp sesame oil, zest and juice 1 lime, 50g honey-roasted peanuts bashed with a rolling pin, 1 red chilli thinly sliced (optional)"
