url,title,meal_type,kcal,fat,saturates,carbs,sugars,fibre,protein,salt,ingredients
https://www.bbcgoodfood.com/recipes/15-minute-chicken-halloumi-burgers,15 Minute Chicken Halloumi Burgers,quick and easy,737.0,42.0g,10.0g,49.0g,6.0g,4.0g,39.0g,4.1g,"2 chicken breast fillets, 1 tbsp oil plus extra for frying the halloumi, if needed, 4 tbsp piri-piri sauce or other mild chilli sauce, plus extra for drizzling, ½ lemon juiced, burger buns split in half, 250g block lighter halloumi sliced into 8 pieces, ¼ small white cabbage finely sliced, 2 tbsp mayonnaise, 4 tbsp hummus tzatziki or soured cream & chive dip, handful of rocket or 4-8 soft lettuce leaves, 2 large roasted red peppers from a jar, drained and sliced"
https://www.bbcgoodfood.com/recipes/air-fryer-bacon,Air Fryer Bacon,breakfast,74.0,6.0g,2.0g,0.0g,0.0g,0.0g,6.0g,0.88g,6 rashers streaky bacon or 3 rashers back bacon
https://www.bbcgoodfood.com/recipes/air-fryer-baked-potatoes,Air Fryer Baked Potatoes,quick and easy,206.0,2.0g,0.4g,40.0g,3.0g,5.0g,5.0g,0.01g,"4 baking potatoes (about 250g each), ½ tbsp sunflower oil, toppings of your choice such as butter, cheese, baked beans or tuna mayonnaise"
https://www.bbcgoodfood.com/recipes/air-fryer-chicken-thighs,Air Fryer Chicken Thighs,quick and easy,111.0,8.0g,2.0g,0.0g,0.0g,0.3g,11.0g,0.7g,"1 tsp paprika, ½ tsp mixed herbs, ½ tsp garlic granules (optional), 4 chicken thighs bone in, 1 tsp olive oil"
https://www.bbcgoodfood.com/recipes/air-fryer-crispy-chilli-beef,Air Fryer Crispy Chilli Beef,dinner,440.0,19.0g,3.0g,34.0g,20.0g,3.0g,31.0g,3.1g,"250g thin-cut minute steak thinly sliced into strips, 2 tbsp cornflour, 2 tbsp vegetable oil plus a drizzle, 2 garlic cloves crushed, thumb-sized piece of ginger peeled and cut into matchsticks, 1 red chilli thinly sliced, 1 red pepper cut into chunks, 4 spring onions sliced, green and white parts separated, 4 tbsp rice wine vinegar or white wine vinegar, 1 tbsp soy sauce, 2 tbsp sweet chilli sauce, 2 tbsp tomato ketchup"
https://www.bbcgoodfood.com/recipes/air-fryer-fish-fingers,Air Fryer Fish Fingers,quick and easy,64.0,1.0g,0.2g,7.0g,0.2g,0.3g,7.0g,0.7g,"250g white fish loin, 1 egg beaten, 75g panko breadcrumbs, sliced white bread butter, tartare sauce or tomato ketchup, and Little Gem lettuce, to serve"
https://www.bbcgoodfood.com/recipes/air-fryer-fry-up,Air Fryer Fry Up,breakfast,845.0,44.0g,14.0g,61.0g,7.0g,9.0g,47.0g,4.1g,"1 English muffin, ½ tsp butter softened, 200g mushrooms roughly chopped, ½ tsp olive oil, 1 tomato halved across the equator, 2 sausages, 2 hash browns, 1 egg, 2 bacon rashers, ½ 400g can or 200g can baked beans (optional)"
https://www.bbcgoodfood.com/recipes/air-fryer-meatballs,Air Fryer Meatballs,quick and easy,82.0,6.0g,2.0g,2.0g,0.4g,0.3g,6.0g,0.18g,"4 good-quality sausages, 500g beef mince, ½ onion or 1 shallot, very finely chopped, 50g parmesan finely grated, 50g fresh breadcrumbs, handful parsley finely chopped, 1 egg beaten"
https://www.bbcgoodfood.com/recipes/air-fryer-omelette,Air Fryer Omelette,breakfast,251.0,22.0g,10.0g,0.1g,0.1g,0.0g,13.0g,0.68g,"15g butter, 2 eggs, fillings of your choice, such as grated cheese, fried mushrooms, wilted spinach, crumbled feta or chopped ham, salad to serve"
https://www.bbcgoodfood.com/recipes/air-fryer-pork-chops,Air Fryer Pork Chops,quick and easy,404.0,27.0g,10.0g,0.3g,0.1g,0.3g,41.0g,0.92g,"4 pork chops, ½ tbsp sunflower or vegetable oil, ½ tsp dried oregano, ½ tsp paprika, ½ tsp mustard powder, ½ tsp onion powder, 25g parmesan finely grated, cooked greens and peas to serve (optional)"
